step,epoch,lossD,lossG,loss_gan,loss_spec,loss_fm,loss_evasion,inst_noise,delta,lambda_evasion,p_bona_mean
0,1,-0.10735716670751572,6.183759689331055,-0.9511786103248596,7.107061386108398,0.02787693403661251,0.0,0.019998000000000002,0.019998000000000002,0.0,0.12125011533498764
100,1,0.10370969772338867,-11.590973854064941,-19.225975036621094,7.5571393966674805,0.07786181569099426,0.0,0.019799006675150076,0.019799006675150076,0.0,0.4789724349975586
200,1,-0.04412031173706055,-22.786340713500977,-28.421934127807617,5.5672688484191895,0.06832517683506012,0.0,0.01960199346547839,0.01960199346547839,0.0,0.49382442235946655
300,1,-0.054617881774902344,-36.12286376953125,-42.489871978759766,6.298880577087402,0.06812669336795807,0.0,0.01940694066752947,0.01940694066752947,0.0,0.49030739068984985
400,1,0.01756247878074646,-35.249366760253906,-42.41004943847656,7.089616775512695,0.07106898725032806,0.0,0.019213828773910237,0.019213828773910237,0.0,0.5007511377334595
500,1,-0.055286407470703125,-50.692291259765625,-56.49895477294922,5.7366108894348145,0.07005462050437927,0.0,0.01902263847133908,0.01902263847133908,0.0,0.49823200702667236
600,1,-0.18483543395996094,-60.48147201538086,-66.58244323730469,6.012820243835449,0.08814974129199982,0.0,0.018833350638714313,0.018833350638714313,0.0,0.4987431764602661
700,1,-0.11336898803710938,-62.507144927978516,-69.30606842041016,6.702029228210449,0.09689312428236008,0.0,0.018645946345201846,0.018645946345201846,0.0,0.49947768449783325
800,1,0.0057116299867630005,-58.28055191040039,-64.96810913085938,6.598878860473633,0.08867936581373215,0.0,0.018460406848341878,0.018460406848341878,0.0,0.49803590774536133
900,1,-0.11544418334960938,-68.81742095947266,-74.7291259765625,5.8236846923828125,0.08801674842834473,0.0,0.01827671359217455,0.01827671359217455,0.0,0.49572575092315674
1000,1,-0.06281089782714844,-71.40705108642578,-77.49279022216797,5.999053955078125,0.08668651431798935,0.0,0.018094848205384012,0.018094848205384012,0.0,0.5015935897827148
1100,1,-0.22389602661132812,-76.91017150878906,-82.67095947265625,5.662973403930664,0.0978175699710846,0.0,0.01791479249946119,0.01791479249946119,0.0,0.4964628219604492
1200,1,0.051607973873615265,-68.41075897216797,-73.17801666259766,4.697212219238281,0.0700438842177391,0.0,0.01773652846688469,0.01773652846688469,0.0,0.5011192560195923
1300,1,-0.11304473876953125,-78.37089538574219,-84.85836029052734,6.392036437988281,0.09542983770370483,0.0,0.017560038279319876,0.017560038279319876,0.0,0.5020768642425537
